date,date,nopat,freecashflow,roe,ebitdagrowth,ebitdamargin,cashdividendspershare,bookvaluepershare,debttoequity,epsgrowth,investedcapitalgrowth,fcffgrowth,finleverage,netincomegrowth,roa,revenuegrowth,basiceps,ebitda,totalassets,totalliabilities,debt,netincome,netcashfromoperatingactivities,netcashfrominvestingactivities,netcashfromfinancingactivities,longterminvestments
14/04/2015,31/03/2015,22390000000,8171000000,8171000000,0.164085,0.374373,1.6,57.0515,1.5488,0.354839,0.024226,1.924844,1.6082,0.346686,0.00886,0.005269,5.5,35926000000,2.57715E+12,2.34128E+12,3.65298E+11,22390000000,22390000000,-1.21376E+11,82247000000,82247000000
15/04/2015,31/03/2015,22390000000,8171000000,8171000000,0.164085,0.374373,1.6,57.0515,1.5488,0.354839,0.024226,1.924844,1.6082,0.346686,0.00886,0.005269,5.5,35926000000,2.57715E+12,2.34128E+12,3.65298E+11,22390000000,22390000000,-1.21376E+11,82247000000,82247000000
16/04/2015,31/03/2015,22390000000,8171000000,8171000000,0.164085,0.374373,1.6,57.0515,1.5488,0.354839,0.024226,1.924844,1.6082,0.346686,0.00886,0.005269,5.5,35926000000,2.57715E+12,2.34128E+12,3.65298E+11,22390000000,22390000000,-1.21376E+11,82247000000,82247000000
17/04/2015,31/03/2015,22390000000,8171000000,8171000000,0.164085,0.374373,1.6,57.0515,1.5488,0.354839,0.024226,1.924844,1.6082,0.346686,0.00886,0.005269,5.5,35926000000,2.57715E+12,2.34128E+12,3.65298E+11,22390000000,22390000000,-1.21376E+11,82247000000,82247000000
20/04/2015,31/03/2015,22390000000,8171000000,8171000000,0.164085,0.374373,1.6,57.0515,1.5488,0.354839,0.024226,1.924844,1.6082,0.346686,0.00886,0.005269,5.5,35926000000,2.57715E+12,2.34128E+12,3.65298E+11,22390000000,22390000000,-1.21376E+11,82247000000,82247000000
21/04/2015,31/03/2015,22390000000,8171000000,8171000000,0.164085,0.374373,1.6,57.0515,1.5488,0.354839,0.024226,1.924844,1.6082,0.346686,0.00886,0.005269,5.5,35926000000,2.57715E+12,2.34128E+12,3.65298E+11,22390000000,22390000000,-1.21376E+11,82247000000,82247000000
22/04/2015,31/03/2015,22390000000,8171000000,8171000000,0.164085,0.374373,1.6,57.0515,1.5488,0.354839,0.024226,1.924844,1.6082,0.346686,0.00886,0.005269,5.5,35926000000,2.57715E+12,2.34128E+12,3.65298E+11,22390000000,22390000000,-1.21376E+11,82247000000,82247000000
23/04/2015,31/03/2015,22390000000,8171000000,8171000000,0.164085,0.374373,1.6,57.0515,1.5488,0.354839,0.024226,1.924844,1.6082,0.346686,0.00886,0.005269,5.5,35926000000,2.57715E+12,2.34128E+12,3.65298E+11,22390000000,22390000000,-1.21376E+11,82247000000,82247000000
24/04/2015,31/03/2015,22390000000,8171000000,8171000000,0.164085,0.374373,1.6,57.0515,1.5488,0.354839,0.024226,1.924844,1.6082,0.346686,0.00886,0.005269,5.5,35926000000,2.57715E+12,2.34128E+12,3.65298E+11,22390000000,22390000000,-1.21376E+11,82247000000,82247000000
27/04/2015,31/03/2015,22390000000,8171000000,8171000000,0.164085,0.374373,1.6,57.0515,1.5488,0.354839,0.024226,1.924844,1.6082,0.346686,0.00886,0.005269,5.5,35926000000,2.57715E+12,2.34128E+12,3.65298E+11,22390000000,22390000000,-1.21376E+11,82247000000,82247000000
28/04/2015,31/03/2015,22390000000,8171000000,8171000000,0.164085,0.374373,1.6,57.0515,1.5488,0.354839,0.024226,1.924844,1.6082,0.346686,0.00886,0.005269,5.5,35926000000,2.57715E+12,2.34128E+12,3.65298E+11,22390000000,22390000000,-1.21376E+11,82247000000,82247000000
29/04/2015,31/03/2015,22390000000,8171000000,8171000000,0.164085,0.374373,1.6,57.0515,1.5488,0.354839,0.024226,1.924844,1.6082,0.346686,0.00886,0.005269,5.5,35926000000,2.57715E+12,2.34128E+12,3.65298E+11,22390000000,22390000000,-1.21376E+11,82247000000,82247000000
30/04/2015,31/03/2015,22390000000,8171000000,8171000000,0.164085,0.374373,1.6,57.0515,1.5488,0.354839,0.024226,1.924844,1.6082,0.346686,0.00886,0.005269,5.5,35926000000,2.57715E+12,2.34128E+12,3.65298E+11,22390000000,22390000000,-1.21376E+11,82247000000,82247000000
01/05/2015,31/03/2015,22390000000,8171000000,8171000000,0.164085,0.374373,1.6,57.0515,1.5488,0.354839,0.024226,1.924844,1.6082,0.346686,0.00886,0.005269,5.5,35926000000,2.57715E+12,2.34128E+12,3.65298E+11,22390000000,22390000000,-1.21376E+11,82247000000,82247000000
04/05/2015,31/03/2015,22390000000,8171000000,8171000000,0.164085,0.374373,1.6,57.0515,1.5488,0.354839,0.024226,1.924844,1.6082,0.346686,0.00886,0.005269,5.5,35926000000,2.57715E+12,2.34128E+12,3.65298E+11,22390000000,22390000000,-1.21376E+11,82247000000,82247000000
05/05/2015,31/03/2015,22390000000,8171000000,8171000000,0.164085,0.374373,1.6,57.0515,1.5488,0.354839,0.024226,1.924844,1.6082,0.346686,0.00886,0.005269,5.5,35926000000,2.57715E+12,2.34128E+12,3.65298E+11,22390000000,22390000000,-1.21376E+11,82247000000,82247000000
